,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Power Supply,Battery Cell,MS Office Provided,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Chipset,Clock Speed,Memory Slots,Expandable Memory,Cache,Graphic Processor,OS Architecture,Operating System,Supported Operating System,Mic In,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Color Gamut,Certification,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,International Warranty,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,RAM Frequency,Number of Cores,System Architecture,RJ45,Hardware Interface,Refresh Rate,Ethernet,Multi Card Slot,Battery Backup,HDD Capacity,Security Chip,Wireless WAN,Antivirus,Laptop Bag,Lock Port,RPM,Sound Chip,Stylus Included
1,"Laptop, Power Adaptor, User Guide, Warranty Documents",X515JA-EJ362WS | X515JA-EJ392WS,90NB0SR2-M44040|90NB0SR2-M02SR0|90NB0SR2-M44030 | 90NB0SR2-M02XJ0,X515JA-EJ362WS,VivoBook 15 (2022),Transparent Silver,Thin and Light Laptop,Processing & Multitasking,45W AC Adapter,2 cell,Yes,Intel,Core i3,10th Gen,Yes,512 GB,8 GB,DDR4,1005G1,,1.2 GHz upto max turbo frequency at 3.4 Ghz,,,4,Intel Integrated UHD,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1x HDMI 1.4 port,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD (200nits, 45% NTSC color gamut, non-OLED, Anti-glare display)",Built-in Speakers,Built-in Microphone,SonicMaster Audio by ICEpower,,,Wi-Fi 5(802.11ac) 1x1,v4.1,360.2 x 234.9 x 19.9 mm,1.80 kg,Not Available,VGA Webcam,Yes,Chiclet Keyboard with Num-key,No,,Office Home and Student 2021,"37WHrs Li-ion, Every technology product of today’s time is excelling in some of the key parameters while showing limitations in other parameters. The same is the case with laptops that come with strengths as well as weaknesses. So before start shopping for any of your favorite laptop models available in the market, it is necessary to make yourself well versed with its unique features and limitations.",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,0,,,,,,,,,,,,,,,,,,,,
1,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",FA706IHRB-HX041W,90NR07D5-M002C0,FA706IHRB-HX041W,TUF Gaming A17 with 90Whr Battery,Graphite Black,Gaming Laptop,Gaming,150W AC Adapter,4,No,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,8 GB,DDR4,AMD R5-4600H,,4.0 GHz max boost,2,32,11,NVIDIA GeForce GTX 1650,64 bit,Windows 11 Home,Windows 11 Home,Yes,"3x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C support DisplayPort",1x HDMI 2.0b,No,43.94 cm (17.3 Inch),1920 x 1080 Pixels,"FHD, Value IPS-level, anti-glare display (Brightness 250nits, NTSC 45%, SRGB 62.5%)",Dual Speakers,Built-in array microphone,,,,Wi-Fi 6(802.11ax) (Dual band) 2x2,v5.1,399 x 268 x 24.8 mm,2.60 Kg,Not Available,720P HD camera,,Backlit Chiclet Keyboard 1-Zone RGB,Yes,,,"90WHrs, 4S1P, Li-ion Battery",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,GDDR6,4 GB,3200 MHz,6,64,Yes,PCIe NVMe,144 Hz,10/100/1000 Mbps,,,,,,,,,,,
1,"Laptop, Power Adapter, User Guide, Warranty Documents",14s-dq3037tu,681Y5PA#ACJ,14s-dq3037tu,,Jet Black,Thin and Light Laptop,Processing & Multitasking,,3,Yes,Intel,Celeron Dual Core,,Yes,256 GB,8 GB,DDR4,N4500,,Up to 2.8 GHz,,,4,Intel Integrated UHD Graphics,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x SuperSpeed USB Type-C 5Gbps signaling rate, 2x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 1.4b,No,35.56 cm (14 inch),1366 x 768 Pixel,"HD, micro-edge, BrightView (Brightness: 250 nits, 112 ppi, Color Gamut: 45% NTSC)",Dual Speakers,Integrated dual array digital microphone,,,,Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi,v4.2,324 x 225 x 17.9 mm,1.46 Kg,Not Available,HP TrueVision 720p HD Camera,,"Full-size, jet black keyboard",,HP Imagepad with multi-touch gesture support,,"41 Wh Li-ion, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,2933 MHz,2,64,,PCIe NVMe,,,1x multi-format SD media card reader,,,,,,,,,,
1,"Laptop, AC Adapter, User Guide, Manuals",D560841WIN9S,D560841WIN9S,Inspiron 3511,Inspiron,Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,,,,,,,Intel Integrated,,Windows 11 Home,,,,,No,39.62 cm (15.6 inch),1920 X 1080$$Pixels pixel,,,,,,,,YES,,,Not Available,,,,,,,,1 YEAR,ONSITE,MANUFACTURING DAMAGE,PHYSICAL DAMAGE,,,,,,,,,,,,,UPTO 6 HRS,1 TB,,,,,,,,
1,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s- eq2144au,50M63PA#ACJ,15s- eq2144au,,Natural Silver,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",,3 cell,Yes,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,8 GB,DDR4,5500U,,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,,,8,AMD Radeon AMD,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 1.4b,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v4.2,358 x 242 x 17.9 mm,1.69 kg,Not Available,HP True Vision 720p HD camera,No,Full-size Island-style Natural Silver Keyboard with Numeric Keypad,No,,"Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart","41 Wh Li-ion Battery, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,6,,,,,,1 x card reader,,,,,,,,,,
1,"Laptop, Power Adaptor, User Guide, Warranty Documents",82H801L7IN | 82H802FJIN | 82H802L3IN | 82H801LHIN,0196118455495 | 0196379293072 | 0196800313836 | 0196118455235,15ITL6,IdeaPad 3,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,DDR4,1115G4,,1.7 GHz upto max turbo frequency at 4.1 Ghz,,Upto 12GB,6,Intel Integrated UHD,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",1 x HDMI 1.4b,No,39.62 cm (15.6 inch),1920 x 1080 pixel,Full HD TN 250nits Anti-glare,Built-in Dual Speakers,Built-in array microphones,"1.5W x 2, Dolby Audio",,,"11ac, 2x2",v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,720p with Privacy Shutter,No,"Non-backlit, English",No,,Office Home and Student 2021,,2 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2 Year,,,,,2,,,,,,1 x card reader,Upto 12 hours,,,,,,,,,
1,"Laptop, Battery, Adapter, Cables and User Manuals",Vostro 3515,ICC-D585042WIN8,Vostro 3515,,Carbon,Thin and Light Laptop,Everyday Use,,3,Yes,AMD,Athlon Dual Core,,Yes,256 GB,8 GB,DDR4,3050U,,2.3 GHz upto max turbo frequency at 3.2 Ghz,2,16,4,AMD Radeon AMD,64 bit,Windows 11 Home,Windows 11 Home,Yes,"2 x USB 3.2 Gen1 ,1 x USB 2.0",1 x HDMI 1.4b port,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,HD WVA AG Narrow Border,Yes,Yes,Waves Maxx Audio Pro,,,802.11ac 1x1 WiFi,Yes,358 x 235 x 18.9 mm,1.8 Kg,Not Available,HD Webcam,No,Standard Keyboard,No,,,41 WHr Li-ion Battery,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,,2,,No,M.2 SATA,,Available,,Upto 7 hours,,,,,,,,,
1,"Laptop, Battery, Adapter, Cables and User Manuals",Vostro 3425,D552305WIN9BE,Vostro 3425,,Carbon Black,Thin and Light Laptop,Everyday Use,,4,Yes,AMD,Ryzen 3 Quad Core,,Yes,256 GB,8 GB,DDR4,5425U,,2.7 GHz upto max turbo frequency at 4.1 Ghz,2,16,8,AMD Radeon AMD,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB3.2 Gen 1 Type-C port, 1 x USB3.2 Gen1 port?, 1 x USB 2.0",1 x HDMI 1.4 port,No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD WVA AG Narrow Border 250 nits,Yes,Yes,Waves Maxx Audio Pro,,,802.11ac 1x1 WiFi,Yes,323 x 220 x 23.0 mm,1.48 Kg,Not Available,HD Webcam,No,Standard Keyboard,No,,,54 WHr Li-ion Battery,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,,4,,Yes,M.2 SATA,,Available,,Upto 7 hours,,,,,,,,,
1,"Laptop, Power Adaptor, User Guide, Warranty Documents",X515EA-EJ701WS,90NB0TY1-M02XL0,X515EA-EJ701WS,,Slate Grey,Thin and Light Laptop,Processing & Multitasking,,2,Yes,Intel,Core i7,11th Gen,Yes,512 GB,16 GB,DDR4,1165G7,,2.8 GHz with Turbo Boost Upto 4.7 GHz,,,,Intel Integrated Iris Xe,,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 200nits, 45% NTSC color gamut, Anti-glare display",Built-in Speakers,,,,,Wi-Fi 5(802.11ac) (Dual band) 1*1,V4.1,360 x 235 x 19.9 mm,1.80 Kg,Not Available,VGA camera,,Chiclet Keyboard with Num-key,,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,4,,,,,,,,,,,,,,,,
1,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-ey1508AU,6Q0N0PA#ACJ,15s-ey1508AU,,Jet Black,Thin and Light Laptop,Processing & Multitasking,,3,Yes,AMD,Ryzen 3 Dual Core,,Yes,256 GB,8 GB,DDR4,3250U,,"2.6 GHz base clock, up to 3.5 GHz max boost clock",,,4,AMD Radeon Radeon,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x SuperSpeed USB Type-C 5Gbps signaling rate, 2x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 1.4b,No,39.62 cm (15.6 mm),1366 x 768 Pixel,"HD, micro-edge, BrightView, (Brightness 220 nits, 101 ppi Color Gamut 45%NTSC)",Dual Speakers,Integrated dual array digital Microphones,,,,Realtek RTL8821CE 802.11b/g/n/ac (2x2),v5.0,358 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD Camera,,Full-size island-style Jet Black keyboard with numeric keypad,,"HP Imagepad with multi-touch gesture support, Precision Touchpad Support","Microsoft Office 2021 Home and Student, HP Documentation, HP BIOS recovery, HP Smart","41 Wh Li-ion Battery, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,2400 MHz,2,64,,PCIe NVMe,,,1x multi-format SD media card reader,,,,,,,,,,
